Ticker,Company Name,Market Cap,Country
DIS,Walt Disney,203004706816,United States
MA,Mastercard,524254543872,United States
COF,Capital One,161957756928,United States
BKNG,Booking Holdings (Booking.com),176495165440,United States
NFLX,Netflix,384452362240,United States
HON,Honeywell,134443737088,United States
GILD,Gilead Sciences,154294337536,United States
GE,General Electric,343200595968,United States
AAPL,Apple,3863398318080,United States
MU,Micron Technology,382166663168,United States
QCOM,QUALCOMM,194425028608,United States
GOOG,Alphabet (Google),3892321189888,United States
CSCO,Cisco,295225786368,United States
LRCX,Lam Research,256090439680,United States
APH,Amphenol,170033561600,United States
BA,Boeing,178634211328,United States
GS,Goldman Sachs,284866609152,United States
BSX,Boston Scientific,146242895872,United States
INTU,Intuit,181280161792,United States
MCD,McDonald,217049923584,United States
KLAC,KLA,179050135552,United States
RY,Royal Bank Of Canada,237659127808,Canada
SYK,Stryker Corporation,140636291072,United States
TJX,TJX Companies,171437080576,United States
ABT,Abbott Laboratories,221107912704,United States
INTC,Intel,203345100800,United States
PEP,Pepsico,187577270272,United States
AVGO,Broadcom,1628627533824,United States
TD,Toronto Dominion Bank,160809238528,Canada
CRM,Salesforce,253346234368,United States
BAC,Bank of America,420643962880,United States
MSFT,Microsoft,3593712959488,United States
ORCL,Oracle,554054385664,United States
BRK-B,Berkshire Hathaway,1070296924160,United States
UNP,Union Pacific Corporation,133152751616,United States
NEE,Nextera Energy,163214131200,United States
TMO,Thermo Fisher Scientific,231868235776,United States
TSLA,Tesla,1434791706624,United States
IBM,IBM,277363982336,United States
ADBE,Adobe,143422029824,United States
LOW,Lowe's Companies,138622337024,United States
MRK,Merck,271259254784,United States
ISRG,Intuitive Surgical,212314898432,United States
META,Meta Platforms (Facebook),1635041017856,United States
BX,Blackstone Group,188463955968,United States
T,AT&T,171394744320,United States
CAT,Caterpillar,279457038336,United States
NOW,ServiceNow,159221071872,United States
SHOP,Shopify,217069305856,Canada
RTX,RTX,249021579264,United States
PANW,Palo Alto Networks,135148298240,United States
PG,Procter & Gamble,323080585216,United States
PM,Philip Morris International,241512480768,United States
WFC,Wells Fargo,302052474880,United States
C,Citigroup,223429787648,United States
VZ,Verizon,169205153792,United States
NVDA,NVIDIA,4604261564416,United States
JPM,JPMorgan Chase,899141992448,United States
AMZN,Amazon,2582328639488,United States
UNH,UnitedHealth,309525053440,United States
WMT,Walmart,898699821056,United States
HD,Home Depot,347493236736,United States
AXP,American Express,263196573696,United States
CVX,Chevron,312700436480,United States
ADI,Analog Devices,143414804480,United States
DELL,Dell,80470933504,United States
CMCSA,Comcast,109958488064,United States
HLT,Hilton Worldwide,69029371904,United States
GLW,Corning,75439136768,United States
ENB,Enbridge,98737094656,Canada
CNQ,Canadian Natural Resources,63766409216,Canada
MDLZ,Mondelez International,66651127808,United States
MCO,Moody's,95318360064,United States
WELL,Welltower,127416803328,United States
SBUX,Starbucks,98575204352,United States
EMR,Emerson,79931236352,United States
